ID,SymbolValue,XCoord,YCoord,Month,Day,Year,Title of Plaque,Brochure Description,Image name associated,Categories (separated by #),Picture of actual plaque (link to dropbox),Historic picture of parade/event (link to dropbox)
coh7-18-1927,Canyon of Hero Marker,40.7056007,-74.0136032,7,18,1927,DOUBLE PARADE FOR TWO SEPARATE TRANSATLANTIC FLIGHTS: ONE BY COMDR. RICHARD E. BYRD# LT. GEORGE O. NOVILLE# BERNT BALCHEN# AND BERT ACOSTA# AND THE OTHER BY CLARENCE D. CHAMBERLIN AND CHARLES A. LEVINE,"Richard Byrd had wanted to be the first pilot to fly the Atlantic. He and his crew were still preparing to leave when Lindbergh made his triumphant solo flight. The Byrd team was further disappointed when poor weather over Paris forced their plane into the surf at Ver-sur-Mer# off the coast of France# dashing their hopes for a nonstop transatlantic flight. The other honorees# Chamberlin and his passenger Levine flew 3#911miles# from Long Island to Eisleben# Germany# breaking Lindbergh's record. Muggy# rainy weather and something like a hangover from the excesses of the Lindbergh parade dampened the city's reception for the five ""birdmen."" It was Byrd's second of three ticker-tape receptions (see nos. 17 and 35).",,aviation,,
coh11-11-1927,Canyon of Hero Marker,40.7055016,-74.013298,11,11,1927,RUTH ELDER# FIRST WOMAN TO ATTEMPT A TRANSATLANTIC FLIGHT# WITH PILOT GEORGE HALDEMAN,"Dubbed the ""Flying Flapper"" by the popular press# Ruth Elder wanted to be the first woman to fly across the Atlantic. The would-be actress and former dental hygienist should have waited for spring weather. Fortunately# she and Haldeman had wisely decided to chart a course over busy shipping lanes. When they crashed in the Atlantic near the Azores# 28 hours and 2#632 miles after leaving Roosevelt Field# they were quickly scooped up by a Dutch oil tanker. Although falling short of their goal# they did achieve the longest flight entirely over water. For a time# the Alabama born# ""comely Dixie aviatrix"" received the attention she dreamed of# with her every change of costume duly noted in the press. Her subsequent vaudeville tour and film career were less than stellar. Married six times# she died in San Francisco in 1977.",024.tif,aviation,,
coh1-20-1928,Canyon of Hero Marker,40.7055016,-74.013298,1,20,1928,WILLIAM T. COSGRAVE# PRESIDENT OF IRELAND,New York City officials feared that the political unrest in Ireland might follow Cosgrave across the Atlantic. There were almost as many policemen as spectators along the parade route as he sped through the city on a three-hour visit.,025.tif,foreigndignitaries,,
coh4-30-1928,Canyon of Hero Marker,40.7056007,-74.013298,4,30,1928,CAPT. HERMANN KOEHL# MAJ. JAMES FITZMAURICE AND BARON GUENTHER VON HUENEFELD FOR THE LONGEST WESTWARD TRANSATLANTIC FLIGHT,As soon as the German and Irish aviators took off from Dublin# headed for New York# on April 12# 1928# thousands of spectators gathered at Long Island's Mitchel Field to await their arrival. After flying 37 hours# a dangerous storm and mechanical difficulties forced the crew to land on Greenly Island# Labrador. The disappointed crowds waiting in New York were nonetheless elated at news of their safe# but premature# landing in North America. They quickly began preparations for a ticker-tape parade to celebrate this great achievement.,026.tif,aviation,,
coh5-4-1928,Canyon of Hero Marker,40.7056007,-74.013298,5,4,1928,PRINCE LUDOVICO POTENZIANI SPADA# GOVERNOR OF ROME,The ticker-tape parade and reception was Mayor James J. Walker's way of thanking the prince# his host in Rome the previous summer.,,foreigndignitaries,,
coh7-6-1928,Canyon of Hero Marker,40.7056999,-74.0134964,7,6,1928,AMELIA EARHART# FIRST WOMAN TO COMPLETE A TRANSATLANTIC FLIGHT# WITH PILOTS WILMER STULZ AND LOUIS E. GORDON,"Flying had been only a weekend hobby for the tall# slender social worker until she met her future husband# book publisher George Palmer Putnam. He decided Earhart would be the first woman to fly successfully across the Atlantic. Newspaper reporters played up her resemblance to Charles Lindbergh# calling her ""Lady Lindy.""",028(Earhart).tif,aviation,,
coh10-16-1928,Canyon of Hero Marker,40.7056999,-74.0131989,10,16,1928,DR. HUGO ECKENER AND THE CREW OF THE DIRIGIBLE GRAF ZEPPELIN FOR THE FIRST COMMERCIAL TRANSATLANTIC FLIGHT,The lighter-than-air dirigible# carrying 20 passengers# made the Atlantic crossing from Friedrichshafen# Germany# to Lakehurst# New Jersey# in four days# 15 hours# and 44 minutes.,,aviation,,
coh1-28-1929,Canyon of Hero Marker,40.7056999,-74.0134964,1,28,1929,CAPTAIN GEORGE FRIED# CHIEF OFFICER HARRY MANNING# AND THE CREW OF THE STEAMSHIP AMERICA FOR RESCUING THE CREW OF THE ITALIAN FREIGHTER FLORIDA,Captain Fried's second ticker-tape parade (see no. 15) celebrated another dramatic North Atlantic sea rescue. Fried and his crew plucked 32 officers and seamen from the foundering freighter in a raging storm. Harry Manning was commander of the lifeboat.,,ushistory,,
coh10-4-1929,Canyon of Hero Marker,40.7057991,-74.0131989,10,4,1929,RAMSAY MACDONALD# PRIME MINISTER OF GREAT BRITAIN,Born the illegitimate son of a servant# by 1924 MacDonald had risen to become the prime minister and foreign secretary of Great Britain's first Labour Party–led government.,,foreigndignitaries,,
coh4-29-1930,Canyon of Hero Marker,40.7057991,-74.0134964,4,29,1930,HENRY LEWIS STIMSON# SECRETARY OF STATE# AND U.S. DELEGATES RETURNING FROM THE LONDON NAVAL DISARMAMENT CONFERENCE,Stimson# principal negotiator for the U.S.# brokered the agreement that sought to eliminate naval competition between the U.S.# England# Japan# France# and Italy.,,ushistory# usleaders,,
coh5-26-1930,Canyon of Hero Marker,40.7057991,-74.0130997,5,26,1930,MARQUIS JACQUES DE DAMPIERRE AND FAMILY# DESCENDANTS OF THE MARQUIS DE LAFAYETTE# PASSENGERS ON THE MAIDEN VOYAGE OF THE FRENCH OCEAN LINER LAFAYETTE,Lafayette's courage and assistance to the American cause in the Revolutionary War had long symbolized the bond between the U.S. and France. A century and a half later# New Yorkers honored his descendants with a fitting reception.,,foreigndignitaries,,
coh6-11-1930,Canyon of Hero Marker,40.7058983,-74.0130997,6,11,1930,DR. JULIO PRESTES DE ALBUQUERQUE# PRESIDENT-ELECT OF BRAZIL,The famously tardy Mayor Walker had to admit that the seven hours Dr.Prestes kept him waiting was a record he could not beat. The Brazilian statesman's arrival had been delayed by fog in the Lower Bay.,,foreigndignitaries,,
coh6-18-1930,Canyon of Hero Marker,40.7057991,-74.0133972,6,18,1930,REAR ADM. RICHARD E. BYRD FOR HIS FIRST ANTARCTIC EXPEDITION AND FLIGHT OVER THE SOUTH POLE,The expedition began in 1927 with 41 men# two ships# four planes# 94 dogs# and food and supplies for two years. On November 28# 1929# Byrd# alongwith Bernt Balchen# Ashley McKinley# and Harold June# flew from their base camp at the Bay of Whales to the South Pole. They returned to New York in June 1930 for a ticker-tape reception# the third for Byrd (see nos. 17 and 23).,035.tif,ushistory# aviation,,
coh7-2-1930,Canyon of Hero Marker,40.7058983,-74.0130997,7,2,1930,BOBBY JONES# BRITISH OPEN CHAMPION,Jones earned his second ticker-tapeparade (see no. 18) for being the first American to win both the British open golf championship and the British amateur crown.,,sports,,
coh9-3-1930,Canyon of Hero Marker,40.7060013,-74.0131989,9,3,1930,CAPT. DIEUDONNÉ COSTES AND MAURICE BELLONTE FOR THE FIRST NONSTOP TRANSATLANTIC FLIGHT FROM PARIS TO LONG ISLAND,Three years after Lindbergh's west-to-east voyage# two French aviators conquered the more difficult east-to-west crossing# a 37-hour and 17-minute flight across the Atlantic from LeBourget Field# Paris# to Curtiss Field# Long Island.,,aviation,,
coh7-2-1931,Canyon of Hero Marker,40.7060013,-74.0130997,7,2,1931,WILEY POST AND HAROLD GATTY# FOR THEIR FLIGHT AROUND THE WORLD (8 DAYS# 15 HOURS# 51 MINUTES),Wiley Post and his navigator Harold Gatty flew from# and returned to# Roosevelt Field on Long Island in a Lockheed Vega B5. They beat the 21-day record for circumnavigation held by the German airship Graf Zeppelin.,038.tif,aviation,,
coh9-2-1931,Canyon of Hero Marker,40.7060013,-74.0131989,9,2,1931,OLIN J. STEPHENS JR. AND THE CREW OF THE DORADE# WINNERS OF A TRANSATLANTIC YACHT RACE FROM NEWPORT# RHODE ISLAND# TO PLYMOUTH# ENGLAND,"Stephens designed and built his craft# a 45-foot yawl# at the Minneford Yacht Yards on CityIsland# in the Bronx. The 23-year-old captain and his crew of six young men sailed across the Atlantic in 17 days# 14 hours# and 40 seconds. They attributed their victory to ""good luck"" and to choosing a northerly course# unlike the other contestants# who followed the Gulf Stream.",,ushistory,,
coh10-22-1931,Canyon of Hero Marker,40.7060013,-74.0130005,10,22,1931,PIERRE LAVAL# PREMIER OF FRANCE,The French leader was feted in New York City on his way to Washington# D.C.# for talks with President Hoover. New Yorkers couldn't know that ten years later# when France fell to the Germans# Laval would become vice-premier in the Vichy government under Marshal Pétain and institute a reign of terror. He drafted laborers for German factories# cooperated in the persecution and deportation of Jews to death camps# and advocated collaboration with the Nazis. After the war he was tried for treason and executed.,,foreigndignitaries,,
coh10-26-1931,Canyon of Hero Marker,40.7061005,-74.0131989,10,26,1931,HENRI PHILLIPPE PÉTAIN# MARSHAL OF FRANCE,New Yorkers saluted Pétain for his heroism during World War I# long before he earned a death sentence (later commuted tolife imprisonment) for collaboration with the Nazis in World War II.,,foreigndignitaries,,
coh11-30-1931,Canyon of Hero Marker,40.7060013,-74.0130005,11,30,1931,DINO GRANDI# FOREIGN MINISTER OF ITALY,As a representative of Italian dictator Benito Mussolini# Grandi gave the fascist salute at his City Hall reception. Later in the day# anti-fascist demonstrators hung him in effigy in Union Square.,,foreigndignitaries,,
coh6-20-1932,Canyon of Hero Marker,40.7061996,-74.0130997,6,20,1932,AMELIA EARHART# FOR THE FIRST SOLO TRANSATLANTIC FLIGHT BY A WOMAN,Determined to set a flight record of her own (see no. 28)# Earhart (now Mrs. Putnam) flew from Newfoundland to Dublin# the first solo and longest nonstop flight by a woman. Five years later# with copilot Frederick J. Noonan# she attempted to fly around the world. With two-thirds of their flight completed# they departed from New Guinea on July 1# 1937# but were never seen again. Their fate remains a mystery.,,aviation,,
coh7-21-1933,Canyon of Hero Marker,40.7061996,-74.0130997,7,21,1933,ITALIAN AIR MARSHAL ITALO BALBO AND THE CREWS OF 24 SEAPLANES FOR THEIR FLIGHT FROM ROME TO CHICAGO,"The mass formation of seaplanes flying 6#065 miles in 49 hours was intended to demonstrate the technical prowess of ""modern fascist Italy."" In 1940# during World War II# Balbo was killed by friendly fire as he flew over North Africa.",,aviation,,
coh7-26-1933,Canyon of Hero Marker,40.7061005,-74.0130005,7,26,1933,WILEY POST FOR THE FIRST SOLO FLIGHT AROUND THE WORLD (7 DAYS# 18 HOURS# 49 MINUTES),Post bested his own circumnavigation record in his Lockheed Vega 5B# Winnie Mae# flying from# and returning to# Floyd Bennett Field# Brooklyn. In 1935 he was killed in a plane crash in Alaska# along with the humorist Will Rogers.,,aviation,,
coh8-1-1933,Canyon of Hero Marker,40.7061005,-74.0130005,8,1,1933,PILOTS AMY JOHNSON AND CAPT. JAMES A. MOLLISON# THE FIRST MARRIED COUPLE TO FLY THE ATLANTIC,Johnson and Mollison both had been recordbreaking British aviators prior to their 1932 marriage. Johnson was the first woman to fly from England to Australia# and Mollison had made the first solo westward transatlantic flight from Ireland to New Brunswick. The couple's transatlantic voyage began at Pendine Sands in Southern Wales.They intended to fly to New York City# but their plane ran short of fuel and they crash-landed at Bridgeport# Connecticut# escaping with only minor injuries. The couple divorced in 1938. In 1941# Amy Johnson drowned in the Thames River after jumping from her faltering plane. Her body was never recovered.,,aviation,,
coh9-3-1936,Canyon of Hero Marker,40.7061005,-74.0129013,9,3,1936,JESSE OWENS AND MEMBERS OF THE U.S. OLYMPIC TEAM ON THEIR RETURN FROM THE BERLIN GAMES,"The African-American athlete Owen supset Adolph Hitler's theories of Aryan superiority by winning four gold medals in track and field events. Mayor Fiorello LaGuardia presented medals to the American team at ceremonies on Randall's Island after the parade. Alluding to the German press comment that America would have been nowhere without its ""black auxiliary force#"" Mayor LaGuardia said# ""We are all Americans here and we have no auxiliaries in this country.""",047.tif,sports,,
coh7-15-1938,Canyon of Hero Marker,40.7062988,-74.0130005,7,15,1938,HOWARD HUGHES AND CREW FOR THEIR RECORD-BREAKING FLIGHT AROUND THE WORLD (3 DAYS# 19 HOURS# 8 MINUTES),Starting and finishing at Floyd Bennett Field# Brooklyn# Hughes and his crew—Thomas M. Thurlow# Harry P.M. Connor# Richard Stoddart# and Edward Lund—flew in a modified Lockheed Super Electra at an average speed of 206.1 mph. Hughes used radio communications# navigation# and weather forecasting that set new standards for airline travel.,048.tif,aviation,,
coh8-5-1938,Canyon of Hero Marker,40.7062988,-74.0130005,8,5,1938,"DOUGLAS ""WRONG WAY"" CORRIGAN FOR HIS FLIGHT FROM NEW YORK TO IRELAND INSTEAD OF HIS ""INTENDED"" DESTINATION OF CALIFORNIA","""My name's Corrigan. I left New York yesterday morning headed for California# but I got mixed up in the clouds and must have flown the wrong way."" For the rest of his life# Corrigan never wavered from the story he gave the authorities after landing in Dublin. The saga of the secondhand flying jalopy and its shy smiling pilot—who was told he could not fly across the Atlantic# but did anyway—greatly appealed to the Depression-weary American public. His famous ""wrong-way"" flight inspired medals# awards# and products named after him# including a watch that ran backwards. Corrigan later owned an orange grove in southern California. He died in 1995 at age 82.",049a.tif# 049b.tif,aviation,,
coh4-27-1939,Canyon of Hero Marker,40.7061996,-74.0129013,4,27,1939,OLAV AND MARTHA# CROWN PRINCE AND PRINCESS OF NORWAY,The royal couple traveled to New York to dedicate the Norwegian exhibit at the World's Fair. After the Nazi invasion of Norway in 1940# Martha accepted President Roosevelt's offer of asylum in the U.S.# while Olav established a government-inexile in London. The attractive princess was a frequent guest at the White House# where her lively companionship and good cheer were much appreciated by the President during the grim war years.,,foreigndignitaries,,
coh5-1-1939,Canyon of Hero Marker,40.7064018,-74.0129013,5,1,1939,REAR ADM. ALFRED W. JOHNSON# OFFICERS AND MEN OF THE ATLANTIC SQUADRON OF THE U.S. FLEET,The fleet came to town to take part in opening ceremonies for the World's Fair.,,military# ushistory,,
coh6-19-1945,Canyon of Hero Marker,40.7062988,-74.0128021,6,19,1945,GEN. DWIGHT D. EISENHOWER# SUPREME COMMANDER OF THE ALLIED EXPEDITIONARY FORCE IN WORLD WAR II,"""Don't Throw Paper at Ike!"" The newspapers reminded potential revelers that# with Americans still fighting in the Pacific# paper was needed for the war effort. Mayor Fiorello LaGuardia met Eisenhower at LaGuardia Airport. As the motorcade traveled through Manhattan to the Battery for the start of the traditional parade# New Yorkers couldn't resist the temptation to honor the victorious leader with a shower of ticker tape all along his route. At City Hall# LaGuardia presented Eisenhower with a gold medal and honorary citizenship of the city.",052.tif,military,,
coh8-27-1945,Canyon of Hero Marker,40.7064018,-74.0129013,8,27,1945,GENERAL CHARLES DE GAULLE# PRESIDENT OF THE PROVISIONAL GOVERNMENT OF FRANCE,The Gallic leader was taken on a 62-mile trip through Brooklyn# Manhattan# and Queens# where he visited Idlewild Airport (now Kennedy)# then under construction. De Gaulle resigned the presidency in January 1946 when it became clear that his views favoring a strong executive would not be incorporated into a new constitution.,053.tif,foreigndignitaries,,
coh9-13-1945,Canyon of Hero Marker,40.7064018,-74.0127029,9,13,1945,GEN. JONATHAN M. WAINWRIGHT# HERO OF THE BATTLES OF BATAAN AND CORREGIDOR IN WORLD WAR II,"Wainwright spent three years# three months# and 18 days in Japanese prison camps. During that time# his wife wrote him as many as seven letters a week – of which he received a total of six. The period of the general's imprisonment was the first time the Wainwrights had been separated since World War I. When speaking to City Hall reporters# Mrs. Wainwright said# ""After you've been married 34 years# why# four years is a small time in your life# I suppose."" She paused a moment# and then repeated# ""I suppose.""",054.tif,military,,
coh10-9-1945,Canyon of Hero Marker,40.706501,-74.0128021,10,9,1945,FLEET ADM. CHESTER W. NIMITZ# COMMANDER IN CHIEF OF THE NAVY'S PACIFIC FLEET IN WORLD WAR II,Nimitz's wartime responsibilities made him the equal of Eisenhower and MacArthur# and the huge crowds along the parade route made sure he knew it.,055.tif,military,,
coh10-27-1945,Canyon of Hero Marker,40.706501,-74.0127029,10,27,1945,HARRY S. TRUMAN# PRESIDENT OF THE UNITED STATES,Truman made a five-minute stop at City Hall before motoring on to Central Park# where he delivered a major address to the nation delineating 12 fundamental points of U.S. foreign policy.,056.tif,usleaders,,
coh12-14-1945,Canyon of Hero Marker,40.706501,-74.0128021,12,14,1945,FLEET ADM. WILLIAM F. HALSEY JR.# COMMANDER OF THE NAVY'S THIRD FLEET IN WORLD WAR II,Halsey's ships felled 3#000 Japanese planes and sank 1#650 enemy boats.,,military,,
coh3-15-1946,Canyon of Hero Marker,40.706501,-74.0126038,3,15,1946,WINSTON CHURCHILL# PRIME MINISTER OF GREAT BRITAIN DURING WORLD WAR II,"Churchill's 1946 visit to the U.S. became justly famous for the speech he made at Fulton# Missouri# in which he coined the phrase ""Iron Curtain."" His post-parade remarks at New York's City Hall were equally noteworthy. With his country and Europe in ruins at war's end# he declared that the power of the United States was now the ""greatest of any nation since the fall of the Roman Empire.""",058.tif,foreigndignitaries,,
coh10-23-1946,Canyon of Hero Marker,40.7066002,-74.0127029,10,23,1946,DELEGATES TO THE FIRST PLENARY SESSION OF THE GENERAL ASSEMBLY OF THE UNITED NATIONS,"In his welcoming speech at temporary U.N. headquarters in Flushing# Queens# President Truman told the delegates#"" This meetin g… symbolizes the abandonment by the U.S. of a policy of isolation."" No prayer was offered at the Assembly opening out of respect for the delegates' diverse religious traditions.",,foreigndignitaries# ushistory,,
coh10-25-1946,Canyon of Hero Marker,40.7066002,-74.0126038,10,25,1946,COL. CLARENCE S. IRVINE# COMMANDER OF THE B-29 DREAMBOAT# AND HIS CREW OF ARMY AIRMEN FOR THEIR HONOLULU-TO-CAIRO FLIGHT OVER THE NORTH POLE,"""Our mission is to go anywhere in the world anytime we want#"" declared the colonel. His nonstop flight# the first to cross the magnetic North Pole# covered a distance of 10#873 miles.",,aviation,,
coh1-13-1947,Canyon of Hero Marker,40.7066002,-74.0124969,1,13,1947,ALCI DE DEGASPERI# PREMIER OF ITALY,DeGasperi founded the Christian Democratic party and# from 1945 to 1953# led eight successive coalition governments.,,foreigndignitaries,,
